,,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
Germany ,All Contacts,0.26,0.26,0.15,0.26,0.26,0.59,0.35,0.28,0.22,0.41,0.79,1.12,0.75,0.35,0.31
Germany ,All Contacts,0.27,0.22,0.19,0.12,0.11,0.49,0.42,0.36,0.32,0.28,0.42,0.54,0.85,0.8,0.43
Germany ,All Contacts,0.19,0.18,0.19,0.15,0.08,0.23,0.19,0.3,0.2,0.15,0.18,0.3,0.52,0.91,0.44
Germany ,All Contacts,0.38,0.63,0.24,0.14,0.19,0.28,0.21,0.22,0.4,0.26,0.28,0.34,0.37,1.3,0.76
Germany ,Physical,1.48,0.32,0.08,0.02,0.08,0.27,0.39,0.2,0.18,0.07,0.19,0.07,0.1,0.03,0.06
Germany ,Physical,0.72,1.77,0.24,0.12,0.01,0.15,0.23,0.46,0.21,0.07,0.19,0.11,0.14,0.09,0.18
Germany ,Physical,0.22,0.41,2.45,0.4,0.07,0.12,0.14,0.51,0.6,0.32,0.13,0.05,0.06,0.14,0.23
Germany ,Physical,0.24,0.3,0.59,3.01,0.66,0.17,0.07,0.36,0.78,0.91,0.21,0.12,0.1,0.09,0.34
Germany ,Physical,0.52,0.22,0.16,0.95,1.74,0.96,0.26,0.14,0.36,0.29,0.26,0.25,0.15,0.11,0.18
Germany ,Physical,0.49,0.36,0.19,0.24,0.66,1.11,0.53,0.2,0.21,0.36,0.4,0.26,0.2,0.14,0.13
Germany ,Physical,0.88,0.55,0.25,0.1,0.28,0.77,0.84,0.49,0.33,0.35,0.34,0.34,0.15,0.2,0.25
Germany ,Physical,0.74,0.58,0.5,0.4,0.26,0.29,0.84,1.1,0.67,0.39,0.36,0.39,0.17,0.23,0.29
Germany ,Physical,0.36,0.52,0.78,0.43,0.3,0.28,0.53,0.67,0.92,0.63,0.39,0.41,0.27,0.42,0.33
Germany ,Physical,0.34,0.29,0.29,0.41,0.42,0.36,0.16,0.29,0.67,0.85,0.54,0.42,0.26,0.2,0.25
Germany ,Physical,0.36,0.17,0.25,0.22,0.3,0.27,0.42,0.17,0.32,0.56,0.86,0.51,0.25,0.3,0.24
Germany ,Physical,0.26,0.22,0.12,0.21,0.18,0.27,0.25,0.17,0.14,0.24,0.46,0.78,0.56,0.22,0.19
Germany ,Physical,0.21,0.21,0.16,0.04,0.06,0.24,0.28,0.26,0.2,0.1,0.3,0.34,0.63,0.59,0.18
Germany ,Physical,0.16,0.16,0.15,0.07,0.06,0.07,0.14,0.19,0.16,0.11,0.1,0.13,0.35,0.66,0.35
Germany ,Physical,0.33,0.49,0.22,0.1,0.13,0.12,0.21,0.17,0.3,0.18,0.18,0.18,0.26,1.16,0.49
Finland,All Contacts,1.97,1.32,0.36,0.3,0.29,0.75,0.92,0.73,0.2,0.23,0.25,0.13,0.4,0.08,0.23
Finland,All Contacts,1.09,4.8,1.22,0.36,0.02,0.37,0.43,0.77,0.4,0.39,0.22,0.12,0.18,0.17,0.04
Finland,All Contacts,0.4,1.57,8.48,1.55,0.21,0.05,0.42,0.81,0.88,0.63,0.2,0.13,0.08,0.25,0.08
