,,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
Netherlands,Physical,1.56,0.94,0.22,0.13,0.33,0.57,0.88,0.69,2.71,0,0,0.23,0.28,0.12,0.2
Netherlands,Physical,2.41,6.35,0.88,0.19,0,0.43,0.13,1.08,1,0.64,0.31,0.08,0.17,0.24,0.22
Netherlands,Physical,0.32,0.59,6.22,1.31,0,0,0.13,0.23,0.43,0.71,0.08,0.15,0.22,0.06,0.17
Netherlands,Physical,0.12,0.24,0.47,5.25,0.25,0.14,0.25,0.08,0.43,0.57,0.15,0.23,0.11,0,0.05
Netherlands,Physical,0.12,0.12,0.09,0.63,0.92,0.36,0.13,0.08,0.57,0.43,0.46,0.15,0.06,0,0.07
Netherlands,Physical,0.15,0.29,0.06,0.19,0.83,1.21,0.75,0,0.29,0.71,0.31,0,0.17,0.06,0.1
Netherlands,Physical,0.97,0.47,0.13,0.19,1.92,0.64,1.13,0.38,0.43,0.43,0.23,0.23,0.44,0.06,0.17
Netherlands,Physical,1,1.18,0.5,0.25,1.25,0.29,1.25,1,0.29,0.57,0.15,0.08,0.39,0.24,0.41
Netherlands,Physical,0.35,1.12,1.06,0.31,0.5,0.07,0.5,0.54,1,1.57,0.23,0.23,0.39,0.29,0.27
Netherlands,Physical,0.21,0.24,0.59,0.75,0.42,0.14,0.25,0.23,0.71,0.71,0.38,0.08,0.11,0.12,0.76
Netherlands,Physical,0.41,0.24,0.28,0.63,0.58,0.57,0.13,0.08,0.43,0.43,0.77,0.85,0.33,0.18,0.27
Netherlands,Physical,0.26,0.12,0.16,0.19,0,0.14,0.25,0.08,0,0.14,0.38,0.92,0.56,0.53,0.22
Netherlands,Physical,0.29,0.41,0.03,0,0,0,0,0.08,0.14,0.21,0.15,0.23,0.89,0.71,0.2
Netherlands,Physical,0.24,0.24,0.13,0,0,0,0.13,0.23,0.14,0,0.08,0.23,0.17,0.53,0.22
Netherlands,Physical,0.09,0.12,0.47,0.5,0.25,0.14,0,0.23,0,0.43,0.46,0.08,0.28,0.59,0.83
Poland,All Contacts,1.33,0.57,0.21,0.1,0.21,0.4,0.38,0.23,0.11,0.13,0.31,0.23,0.25,0.2,0.23
Poland,All Contacts,0.83,6.41,1.06,0.29,0.1,0.27,0.74,0.77,0.56,0.16,0.24,0.5,0.27,0.44,0.26
Poland,All Contacts,0.75,1.62,12.71,1.01,0.3,0.25,0.8,0.68,0.69,0.26,0.37,0.42,0.25,0.44,0.34
Poland,All Contacts,0.49,0.41,2.27,12.12,2.13,0.72,0.54,1.29,1.18,1.13,0.94,0.66,0.53,0.6,0.4
Poland,All Contacts,0.69,0.36,0.63,1.69,6.26,2.4,1.16,1.4,1.58,1.44,1.45,1.02,0.66,0.6,0.34
Poland,All Contacts,1.36,0.92,0.84,0.8,2.61,3.43,2.28,2.5,1.81,1.75,1.94,1.37,1.1,1.36,0.26
Poland,All Contacts,1.19,1.42,1.19,0.88,1.59,2.18,2.36,2.68,1.77,1.44,1.61,1.34,1.31,1.4,0.46
Poland,All Contacts,0.85,0.96,1.23,1.06,1.13,1.43,1.64,3.08,1.76,1.33,1.24,1.06,1.02,1.08,0.71
Poland,All Contacts,0.44,0.68,0.96,1.17,1.11,1.37,1.44,1.87,2.47,1.49,1.71,0.98,1.07,1.68,0.74
Poland,All Contacts,0.47,0.59,0.71,0.96,0.98,1.12,1.36,1.52,1.56,2.25,1.74,1.16,0.56,0.92,0.83
Poland,All Contacts,0.57,0.47,0.46,0.51,1.2,1.33,1.11,1.05,1.03,1.56,1.58,1.4,0.56,0.96,0.74
Poland,All Contacts,0.53,0.48,0.28,0.25,0.79,0.77,0.56,0.87,0.68,0.61,0.94,1.95,1.1,0.68,0.54
Poland,All Contacts,0.29,0.32,0.24,0.25,0.34,0.45,0.59,0.58,0.56,0.41,0.52,0.84,1.12,0.48,0.57
Poland,All Contacts,0.26,0.18,0.15,0.2,0.1,0.23,0.18,0.53,0.34,0.31,0.19,0.56,0.64,0.72,0.54
Poland,All Contacts,0.28,0.36,0.38,0.23,0.3,0.4,0.3,0.71,0.55,0.67,0.71,0.77,0.64,0.8,1.23
Poland,Physical,1.18,0.54,0.21,0.09,0.2,0.37,0.31,0.21,0.11,0.11,0.29,0.21,0.2,0.16,0.23
Poland,Physical,0.66,4.3,0.84,0.22,0.05,0.2,0.51,0.58,0.31,0.07,0.18,0.42,0.24,0.36,0.2
Poland,Physical,0.56,0.87,7.39,0.64,0.11,0.1,0.64,0.56,0.42,0.15,0.24,0.29,0.15,0.2,0.2
Poland,Physical,0.35,0.27,1.42,7.77,1.16,0.47,0.31,0.47,0.77,0.48,0.4,0.39,0.24,0.24,0.37
Poland,Physical,0.55,0.26,0.28,1.06,3.72,1.65,0.69,0.73,0.87,0.62,0.81,0.42,0.34,0.28,0.23
Poland,Physical,1.12,0.64,0.3,0.44,1.25,2.27,1.26,1.42,0.89,0.69,0.94,0.69,0.46,0.4,0.2
Poland,Physical,0.94,1,0.57,0.22,0.48,0.95,1.25,1.58,0.79,0.61,0.73,0.68,0.59,0.52,0.23
Poland,Physical,0.67,0.6,0.63,0.46,0.31,0.52,1.02,2.05,0.95,0.48,0.53,0.44,0.39,0.24,0.46
Poland,Physical,0.27,0.4,0.52,0.52,0.38,0.6,0.72,0.98,1.55,0.69,0.84,0.31,0.58,0.4,0.4
Poland,Physical,0.31,0.37,0.4,0.41,0.49,0.53,0.69,0.68,0.94,1.28,1.11,0.58,0.1,0.36,0.51
Poland,Physical,0.46,0.35,0.15,0.24,0.52,0.65,0.49,0.55,0.55,0.75,1.02,0.71,0.25,0.36,0.51
Poland,Physical,0.47,0.41,0.13,0.15,0.3,0.3,0.3,0.45,0.47,0.33,0.58,1.21,0.44,0.32,0.37
Poland,Physical,0.21,0.23,0.13,0.09,0.08,0.15,0.28,0.31,0.24,0.2,0.26,0.5,0.69,0.32,0.46
Poland,Physical,0.21,0.14,0.09,0.12,0.05,0.08,0.1,0.29,0.23,0.16,0.08,0.27,0.41,0.52,0.43
Poland,Physical,0.2,0.28,0.26,0.12,0.13,0.2,0.13,0.48,0.26,0.39,0.45,0.42,0.42,0.28,0.8
